spot no	proSPK-BC1	proSPK-BC2	pro35S-C1	pro35S-C2	empty vector1	empty vector2	empty vector3	empty vector4
40410	0.06618936	0.0570266	0.04963547	0.06208793	0.08317507	0.006364602	0.01052569	0.01476389
40411	0.03235418	0.02370022	0.02118339	0.02420727	0.013894	0.02169025	0.011525	0.02895076
40412	0.002582254	0.005322868	0.005439845	0.003918179	0.007479664	0.006338371	0.006132626	0.005662325
40413	4.941791	4.423624	4.20248	5.071378	5.426331	5.30545	5.919324	7.431073
40414	0.002571508	0.00528231	0.005397592	0.003897943	0.007454317	0.006293692	0.006094189	0.005633116
40415	1.906337	1.752315	1.663293	2.002704	2.181739	1.386151	1.250877	2.467519
40416	0.1108086	0.1055025	0.08961501	0.1084688	0.09192634	0.2824704	0.1077776	0.1589942
40417	0.06150152	0.05146685	0.04606723	0.0567731	0.1023817	0.1131707	0.05017387	0.1022892
40418	0.4798204	0.3924346	0.3710612	0.4335138	0.7109061	0.4276091	0.2523408	0.4094358
40419	1.284466	1.189429	1.122894	1.324274	0.9811283	0.7537827	0.9617383	0.8742076
40420	0.3773248	0.3530673	0.317481	0.3759652	0.3402714	0.2654019	0.256059	0.3398132
40421	2.145948	2.040409	1.846491	2.27	2.482115	2.38344	2.083865	2.280888
40422	0.1187804	0.1066984	0.09460095	0.128687	0.1244168	0.1247618	0.1277128	0.3240243
40423	5.057381	4.749511	4.332784	5.345413	4.179988	3.156584	3.695875	3.9783
40424	4.954863	3.0918	1.978299	1.974974	3.813411	1.899251	1.691989	1.369093
40425	6.591635	5.936512	5.568523	6.735878	8.962832	9.378956	9.283871	10.19866
40426	0.3846834	0.3454401	0.3282818	0.3664098	0.6549885	0.6239301	0.5668776	0.4314289
40427	0.0601843	0.0459468	0.04196026	0.0491101	0.0984637	0.05663562	0.04205445	0.07071798
40428	3.213629	2.962747	2.751272	3.198662	2.734503	2.283451	3.101024	2.268797
40429	19.61607	18.15248	16.58489	19.71429	13.20177	11.97817	12.51971	15.97024
40430	4.717628	4.269427	3.912416	4.785416	5.032751	4.432626	3.453964	5.463452
40431	0.7367111	0.7249633	0.6368545	0.7895943	0.5140206	0.5196751	0.4774766	0.613037
40432	3.888788	3.644577	3.34908	4.015651	3.58008	3.088727	3.84668	2.615573
40433	0.7562799	0.7062697	0.6259069	0.7426452	0.663727	0.7120638	0.5418375	0.9178436
40434	12.05187	11.0448	10.24181	11.90504	10.5108	12.67472	6.645318	17.96715
40435	0.04787384	0.03700965	0.03425501	0.04034648	0.03008438	0.03716881	0.02143121	0.04462515
40436	0.1406789	0.1228688	0.1120692	0.1395988	0.08845678	0.1229969	0.03072421	0.2139177
40437	0.01393659	0.0119456	0.008212717	0.01342882	0.01239474	0.006071967	0.005816365	0.005496146
40438	0.04993099	0.04388911	0.03698493	0.044192	0.007241944	0.1134433	0.005864993	0.07599187
40439	0.002494987	0.005116819	0.005094567	0.003715149	0.007223623	0.00609136	0.005789257	0.005341441
40440	0.05022807	0.04182529	0.04253091	0.04672547	0.04474123	0.04698959	0.04454101	0.08844628
40441	0.1112466	0.1009276	0.08751273	0.1034517	0.1223552	0.09482581	0.1383201	0.08338362
40442	0.3179619	0.2878053	0.2539726	0.3020123	0.3876342	0.471869	0.2698764	0.4444365
40443	0.5739371	0.5416852	0.4927569	0.5915618	0.4621082	0.3525454	0.3466415	1.024634
40444	5.11534	4.777821	4.368928	5.289974	5.430518	5.163026	5.263649	5.090456
40445	0.009158897	0.005205207	0.005711252	0.005695895	0.01375116	0.006197934	0.01502835	0.01139818
40446	1.334937	1.250627	1.096747	1.365578	3.186299	1.652551	1.685713	1.143895
40447	0.3376761	0.3200495	0.2818392	0.3319498	0.2861022	0.1677671	0.3660187	0.2012925
40448	0.08567239	0.07452571	0.06651882	0.08625856	0.08767794	0.0737761	0.1138044	0.1050443
40449	0.3822254	0.3675684	0.3041837	0.3910261	0.5264081	0.4176292	0.556874	0.3873469
40450	0.002529675	0.005328134	0.00513404	0.003862098	0.007300078	0.006354899	0.005802788	0.005570215
40451	0.04574077	0.03485486	0.03092438	0.04345685	0.05335275	0.05613294	0.05226095	0.09610601
40452	0.02861838	0.02239294	0.02191981	0.03154689	0.0187235	0.0158731	0.02869082	0.02863876
40453	0.2640754	0.2355995	0.2148279	0.2411407	0.2755871	0.1578669	0.4676438	0.2187214
40454	2.347847	2.205319	1.995392	2.522114	1.812634	1.360118	1.700921	1.557109
40455	3.132402	2.996149	2.640322	3.436123	3.509091	3.941546	2.721854	4.047333
40456	21.47078	20.98999	18.30403	22.22478	25.9075	29.6616	21.53732	20.57362
40457	0.002593115	0.005586806	0.005207087	0.004144889	0.007491444	0.006704267	0.005860938	0.006032088
40458	2.63861	2.622563	2.354983	2.938535	1.874498	1.287297	3.023546	1.928065
40459	0.008123227	0.008718883	0.005219059	0.008211206	0.007592756	0.006835111	0.008707126	0.008679343
40460	0.03506258	0.02171351	0.04889709	0.02236187	0.02610786	0.06242113	0.02782203	0.04421757
40461	0.1284006	0.1133304	0.1035598	0.2001198	0.2006798	0.1475217	0.1441744	0.2754873
40462	0.004683322	0.005930853	0.00582921	0.004279707	0.008263625	0.006903783	0.006640967	0.006193498
